secteur;couleur;cotation
1;toutes;3B
1;bleue;4A
1;sable;4B
2;sable;4A
3;sable;4B
4;toutes;4C
4;rouge;5B
4;sable;5A
5;toutes;3B
5;bleue;5B
5;sable;4A
5;toutes;5A
6;toutes;5A+
6;verte;4A
6;sable;3C
6;toutes;5B
7;toutes;5A
7;verte;5C
7;sable;5B
8;toutes;4A
8;bleue;6A+
8;sable;5B+
9;toutes;5C
9;jaune;5A
9;rouge;6A
9;sable;6A
9;toutes;5A+
10;toutes;4C
10;rouge;6B
10;sable;5A
10;toutes;5C+
10bis;toutes;6A
10bis;bleue;4C
10bis;toutes;5B
11;toutes;6A+
11;verte;4C
11;sable;5C
11;toutes;5B
11;toutes;6B
12;toutes;6B+
12;rouge;6A
12;toutes;6C
12;toutes;6C
13;toutes;6C+
13;jaune;5C
13;sable;6B+
13;toutes;6A
14;toutes;5C
14;verte;6B
15;toutes;5B
15;verte;6A+
15;jaune;6A
16;verte;5B+
17;toutes;5B
17;rouge;6C
17;bleue;6C+
17;sable;5C
18;toutes;5C
18;jaune;6B
18;sable;5C+
19;toutes;5B
19;bleue;6A
19;sable;5C
20;sable;5A
21;toutes;5A
21;jaune;5B
21;verte;6A
